Linux 5.15.0-73-generic (bianca-MS-7C00) 	08/06/23 	_x86_64_	(8 CPU)

11:00:27        CPU     %user     %nice   %system   %iowait    %steal     %idle
Linux 5.15.0-73-generic (bianca-MS-7C00) 	08/06/23 	_x86_64_	(8 CPU)

11:01:05        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:01:06        all     10.89      0.00      3.38      0.38      0.00     85.36
11:01:06          0      3.03      0.00      0.00      2.02      0.00     94.95
11:01:06          1      6.93      0.00      1.98      0.00      0.00     91.09
11:01:06          2      1.01      0.00      1.01      0.00      0.00     97.98
11:01:06          3      2.04      0.00      0.00      0.00      0.00     97.96
11:01:06          4      7.07      0.00      0.00      0.00      0.00     92.93
11:01:06          5     53.92      0.00     23.53      0.00      0.00     22.55
11:01:06          6      5.94      0.00      0.00      0.99      0.00     93.07
11:01:06          7      6.00      0.00      0.00      0.00      0.00     94.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all     10.89      0.00      3.38      0.38      0.00     85.36
Average:          0      3.03      0.00      0.00      2.02      0.00     94.95
Average:          1      6.93      0.00      1.98      0.00      0.00     91.09
Average:          2      1.01      0.00      1.01      0.00      0.00     97.98
Average:          3      2.04      0.00      0.00      0.00      0.00     97.96
Average:          4      7.07      0.00      0.00      0.00      0.00     92.93
Average:          5     53.92      0.00     23.53      0.00      0.00     22.55
Average:          6      5.94      0.00      0.00      0.99      0.00     93.07
Average:          7      6.00      0.00      0.00      0.00      0.00     94.00
Linux 5.15.0-73-generic (bianca-MS-7C00) 	08/06/23 	_x86_64_	(8 CPU)

11:01:07        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:01:08        all      5.49      0.00      7.12      0.00      0.00     87.39
11:01:08          0      0.00      0.00      0.00      0.00      0.00    100.00
11:01:08          1      0.00      0.00      0.00      0.00      0.00    100.00
