Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:20        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.62      0.00      0.25      0.00      0.00     99.13
Average:          0      1.00      0.00      1.00      0.00      0.00     98.00
Average:          1      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.99      0.00      0.00     99.01
Average:          3      1.00      0.00      0.00      0.00      0.00     99.00
Average:          4      1.98      0.00      0.00      0.00      0.00     98.02
Average:          5      0.00      0.00      0.00      0.00      0.00    100.00
Average:          6      1.00      0.00      0.00      0.00      0.00     99.00
Average:          7      0.00      0.00      0.00      0.00      0.00    100.00
Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:54        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:49:55        all      0.25      0.00      0.00      0.25      0.00     99.50
19:49:55          0      1.00      0.00      0.00      0.00      0.00     99.00
19:49:55          1      0.00      0.00      0.00      0.00      0.00    100.00
19:49:55          2      0.00      0.00      0.00      0.00      0.00    100.00
19:49:55          3      0.00      0.00      0.00      0.00      0.00    100.00
19:49:55          4      0.00      0.00      0.00      0.00      0.00    100.00
19:49:55          5      0.00      0.00      0.00      1.98      0.00     98.02
19:49:55          6      0.99      0.00      0.00      0.00      0.00     99.01
19:49:55          7      0.00      0.00      0.00      0.00      0.00    100.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.25      0.00      0.00      0.25      0.00     99.50
Average:          0      1.00      0.00      0.00      0.00      0.00     99.00
Average:          1      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.00      0.00      0.00    100.00
Average:          5      0.00      0.00      0.00      1.98      0.00     98.02
Average:          6      0.99      0.00      0.00      0.00      0.00     99.01
Average:          7      0.00      0.00      0.00      0.00      0.00    100.00
Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:56        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:49:57        all      0.12      0.00      0.25      0.00      0.00     99.63
19:49:57          0      0.99      0.00      0.00      0.00      0.00     99.01
19:49:57          1      0.00      0.00      0.99      0.00      0.00     99.01
19:49:57          2      0.00      0.00      1.00      0.00      0.00     99.00
19:49:57          3      0.00      0.00      0.00      0.00      0.00    100.00
19:49:57          4      0.00      0.00      0.00      0.00      0.00    100.00
19:49:57          5      0.00      0.00      0.00      0.00      0.00    100.00
19:49:57          6      0.00      0.00      0.00      0.00      0.00    100.00
19:49:57          7      0.00      0.00      0.00      0.00      0.00    100.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.12      0.00      0.25      0.00      0.00     99.63
Average:          0      0.99      0.00      0.00      0.00      0.00     99.01
Average:          1      0.00      0.00      0.99      0.00      0.00     99.01
Average:          2      0.00      0.00      1.00      0.00      0.00     99.00
Average:          3      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.00      0.00      0.00    100.00
Average:          5      0.00      0.00      0.00      0.00      0.00    100.00
Average:          6      0.00      0.00      0.00      0.00      0.00    100.00
Average:          7      0.00      0.00      0.00      0.00      0.00    100.00
Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:58        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:49:59        all      0.25      0.00      0.13      0.00      0.00     99.62
19:49:59          0      1.00      0.00      0.00      0.00      0.00     99.00
19:49:59          1      0.00      0.00      0.00      0.00      0.00    100.00
19:49:59          2      1.00      0.00      0.00      0.00      0.00     99.00
19:49:59          3      0.00      0.00      0.00      0.00      0.00    100.00
19:49:59          4      0.00      0.00      0.00      0.00      0.00    100.00
19:49:59          5      0.00      0.00      1.00      0.00      0.00     99.00
19:49:59          6      0.00      0.00      0.00      0.00      0.00    100.00
19:49:59          7      0.00      0.00      0.00      0.00      0.00    100.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.25      0.00      0.13      0.00      0.00     99.62
Average:          0      1.00      0.00      0.00      0.00      0.00     99.00
Average:          1      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      1.00      0.00      0.00      0.00      0.00     99.00
Average:          3      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.00      0.00      0.00    100.00
Average:          5      0.00      0.00      1.00      0.00      0.00     99.00
Average:          6      0.00      0.00      0.00      0.00      0.00    100.00
Average:          7      0.00      0.00      0.00      0.00      0.00    100.00
